STATE,zipcode,N1,A02650
AL,35004,1510,19780
AL,35004,1280,48168
AL,35004,920,57275
AL,35004,630,55041
AL,35004,590,75493
AL,35004,50,16122
AL,35005,1360,18606
AL,35005,1030,37327
AL,35005,460,28046
AL,35005,220,19188
AL,35005,180,24501
AL,35005,0,0
AL,35006,460,5939
AL,35006,320,11707
AL,35006,190,11916
AL,35006,130,11169
AL,35006,150,19586
AL,35006,0,0
AL,35007,4180,51015
AL,35007,2640,98431
AL,35007,1870,116842
AL,35007,1410,123938
AL,35007,1700,223459
AL,35007,220,72931
AL,35010,3850,51289
AL,35010,2130,74768
AL,35010,890,55002
AL,35010,560,48623
AL,35010,540,71001
AL,35010,150,65935
AL,35014,670,9147
AL,35014,480,17196
AL,35014,210,12645
AL,35014,150,12742
AL,35014,140,21444
AL,35014,0,0
AL,35016,2870,35764
AL,35016,1640,60298
AL,35016,1030,64118
AL,35016,670,57765
AL,35016,680,91004
AL,35016,100,32157
AL,35019,390,5285
AL,35019,260,9414
AL,35019,120,7428
AL,35019,70,5845
AL,35019,70,10135
AL,35019,0,0
AL,35020,6070,83030
AL,35020,2540,89470
AL,35020,710,43002
AL,35020,230,20023
AL,35020,170,24036
AL,35020,0,0
AL,35022,3240,42667
AL,35022,2270,84488
AL,35022,1520,94725
AL,35022,980,85791
AL,35022,1350,179136
AL,35022,180,52343
AL,35023,3730,50141
AL,35023,2830,103640
AL,35023,1530,94728
AL,35023,990,85325
AL,35023,960,122462
AL,35023,90,27703
AL,35031,1250,16424
AL,35031,820,29404
AL,35031,420,25994
AL,35031,200,17780
AL,35031,170,25809
AL,35031,0,0
AL,35033,500,6413
AL,35033,340,12555
AL,35033,210,12934
AL,35033,140,11960
AL,35033,130,18051
AL,35033,20,11714
AL,35034,730,10007
AL,35034,380,13645
AL,35034,150,8999
AL,35034,80,6691
AL,35034,90,15747
AL,35034,0,0
AL,35035,230,2845
AL,35035,130,4673
AL,35035,90,5323
AL,35035,40,3152
AL,35035,70,20482
AL,35035,0,0
AL,35040,2320,30848
AL,35040,1970,74029
AL,35040,1370,84520
AL,35040,800,70265
AL,35040,680,87106
AL,35040,60,29680
AL,35042,940,12573
AL,35042,580,20665
AL,35042,300,18704
AL,35042,190,16469
AL,35042,190,23800
AL,35042,20,6272
AL,35043,1200,13241
AL,35043,770,28874
AL,35043,650,41130
AL,35043,650,57708
AL,35043,1140,153752
AL,35043,210,72627
AL,35044,1510,19180
AL,35044,790,28217
AL,35044,420,25871
AL,35044,250,21831
AL,35044,190,25049
AL,35044,30,8207
AL,35045,2520,33205
AL,35045,1420,51200
AL,35045,750,46298
AL,35045,430,37218
AL,35045,420,53694
AL,35045,60,27525
AL,35046,960,12548
AL,35046,610,22339
AL,35046,350,21803
AL,35046,230,20211
AL,35046,240,31329
AL,35046,40,16733
AL,35049,540,7042
AL,35049,400,14768
AL,35049,250,15276
AL,35049,170,14504
AL,35049,150,20732
AL,35049,0,0
AL,35051,1360,17263
AL,35051,790,28443
AL,35051,430,26774
AL,35051,320,27748
AL,35051,390,52383
AL,35051,100,42980
AL,35053,330,4148
AL,35053,230,8608
AL,35053,150,9534
AL,35053,100,8467
AL,35053,110,14266
AL,35053,40,13295
AL,35054,620,7774
AL,35054,360,13376
AL,35054,240,14914
AL,35054,230,19673
AL,35054,250,33572
AL,35054,50,24970
AL,35055,3210,41033
AL,35055,2130,78102
AL,35055,1040,64736
AL,35055,640,55907
AL,35055,680,88370
AL,35055,170,63327
AL,35057,2060,26563
AL,35057,1330,48494
AL,35057,720,44623
AL,35057,470,40640
AL,35057,490,65371
AL,35057,90,32683
AL,35058,1720,22165
AL,35058,1110,40430
AL,35058,570,35400
AL,35058,390,33386
AL,35058,320,42052
AL,35058,90,33012
AL,35061,300,4307
AL,35061,180,6527
AL,35061,80,4720
AL,35061,30,2747
AL,35061,30,3754
AL,35061,0,0
AL,35062,1120,14334
AL,35062,780,28224
AL,35062,510,31777
AL,35062,380,33034
AL,35062,400,51418
AL,35062,40,14481
AL,35063,510,6495
AL,35063,350,12919
AL,35063,190,11348
AL,35063,90,8027
AL,35063,80,11004
AL,35063,0,0
AL,35064,2510,35452
AL,35064,1300,46547
AL,35064,460,28032
AL,35064,220,18699
AL,35064,210,29421
AL,35064,0,0
AL,35068,1200,16476
AL,35068,1170,43015
AL,35068,630,38673
AL,35068,320,27597
AL,35068,300,37401
AL,35068,30,13224
AL,35071,2310,29429
AL,35071,1780,66306
AL,35071,1150,71467
AL,35071,860,75281
AL,35071,1010,134202
AL,35071,170,53851
AL,35072,790,10732
AL,35072,570,20122
AL,35072,220,13302
AL,35072,140,11565
AL,35072,80,12096
AL,35072,0,0
AL,35073,410,5685
AL,35073,300,10902
AL,35073,140,8611
AL,35073,80,7254
AL,35073,50,6008
AL,35073,0,0
AL,35077,2220,28895
AL,35077,1420,51746
AL,35077,740,45694
AL,35077,410,35732
AL,35077,300,38291
AL,35077,30,13803
AL,35078,380,5173
AL,35078,240,8673
AL,35078,110,6790
AL,35078,80,7280
AL,35078,90,15370
AL,35078,0,0
AL,35079,1160,14717
AL,35079,850,31422
AL,35079,640,39355
AL,35079,440,38023
AL,35079,310,39550
AL,35079,30,10704
AL,35080,2000,23138
AL,35080,1380,51863
AL,35080,1200,75468
AL,35080,1070,93937
AL,35080,1540,205976
AL,35080,230,68632
AL,35083,490,6488
AL,35083,340,12637
AL,35083,150,9550
AL,35083,80,7294
AL,35083,90,14879
AL,35083,0,0
AL,35085,1440,19255
AL,35085,930,34045
AL,35085,470,29106
AL,35085,280,24360
AL,35085,250,31997
AL,35085,20,6790
AL,35087,360,4676
AL,35087,200,7216
AL,35087,110,6684
AL,35087,70,5944
AL,35087,50,5986
AL,35087,0,0
AL,35089,360,4759
AL,35089,250,8579
AL,35089,90,5393
AL,35089,30,2155
AL,35089,20,2637
AL,35089,0,0
AL,35091,320,3457
AL,35091,170,6523
AL,35091,210,13290
AL,35091,170,14470
AL,35091,270,36316
AL,35091,0,0
AL,35094,2360,31127
AL,35094,1600,58617
AL,35094,950,58941
AL,35094,590,51594
AL,35094,630,82741
AL,35094,130,55143
AL,35096,1300,17191
AL,35096,930,33762
AL,35096,510,31395
AL,35096,310,26948
AL,35096,270,33951
AL,35096,40,17519
AL,35097,270,3411
AL,35097,200,7324
AL,35097,150,9196
AL,35097,80,7121
AL,35097,60,8710
AL,35097,0,0
AL,35098,240,3116
AL,35098,130,4686
AL,35098,100,6252
AL,35098,60,5068
AL,35098,40,4605
AL,35098,0,0
AL,35111,1910,24300
AL,35111,1470,55213
AL,35111,1160,72651
AL,35111,950,83108
AL,35111,1240,161725
AL,35111,130,38157
AL,35114,910,10341
AL,35114,570,21017
AL,35114,420,25791
AL,35114,380,32752
AL,35114,580,76675
AL,35114,70,19505
AL,35115,2340,30125
AL,35115,1270,46349
AL,35115,740,45405
AL,35115,390,34119
AL,35115,390,51255
AL,35115,60,19296
AL,35116,630,8025
AL,35116,480,17419
AL,35116,290,18079
AL,35116,250,21371
AL,35116,290,38425
AL,35116,40,11979
AL,35117,740,9125
AL,35117,630,23372
AL,35117,460,28985
AL,35117,340,29565
AL,35117,440,57386
AL,35117,50,14934
AL,35118,510,6731
AL,35118,350,12704
AL,35118,190,11852
AL,35118,130,11435
AL,35118,150,19880
AL,35118,0,0
AL,35120,2030,25981
AL,35120,1490,55158
AL,35120,990,61503
AL,35120,690,60361
AL,35120,650,82284
AL,35120,50,21673
AL,35121,2450,31996
AL,35121,1540,56369
AL,35121,820,51126
AL,35121,460,39988
AL,35121,510,66002
AL,35121,110,55784
AL,35124,3490,41666
AL,35124,2460,92360
AL,35124,1780,110972
AL,35124,1240,108633
AL,35124,2010,274827
AL,35124,510,222697
AL,35125,1920,24783
AL,35125,1170,42165
AL,35125,600,36785
AL,35125,350,30588
AL,35125,290,36935
AL,35125,40,19608
AL,35126,3220,41163
AL,35126,2400,89050
AL,35126,1580,98353
AL,35126,1010,88548
AL,35126,1190,154213
AL,35126,110,33787
AL,35127,1470,18749
AL,35127,1160,43338
AL,35127,740,45782
AL,35127,440,38247
AL,35127,470,61023
AL,35127,40,11257
AL,35128,1430,18098
AL,35128,950,34984
AL,35128,610,37965
AL,35128,440,38560
AL,35128,510,67711
AL,35128,100,33213
AL,35130,510,6749
AL,35130,320,11482
AL,35130,190,11564
AL,35130,120,10727
AL,35130,100,12965
AL,35130,0,0
AL,35131,620,8172
AL,35131,430,15457
AL,35131,210,13124
AL,35131,130,10750
AL,35131,100,13626
AL,35131,0,0
AL,35133,600,7515
AL,35133,410,15018
AL,35133,240,15127
AL,35133,180,15587
AL,35133,130,18360
AL,35133,0,0
AL,35135,300,3886
AL,35135,200,7291
AL,35135,130,8263
AL,35135,80,6831
AL,35135,110,16171
AL,35135,0,0
AL,35136,250,3218
AL,35136,190,6903
AL,35136,110,6683
AL,35136,60,5133
AL,35136,60,7390
AL,35136,0,0
AL,35143,470,6141
AL,35143,300,11036
AL,35143,170,10388
AL,35143,100,8373
AL,35143,130,18463
AL,35143,30,7497
AL,35146,1350,16567
AL,35146,950,35346
AL,35146,720,44938
AL,35146,530,46665
AL,35146,650,86396
AL,35146,100,32514
AL,35147,670,8121
AL,35147,470,17755
AL,35147,390,24087
AL,35147,290,25532
AL,35147,400,54718
AL,35147,70,23486
AL,35148,470,5997
AL,35148,320,11371
AL,35148,140,8870
AL,35148,120,10253
AL,35148,80,12061
AL,35148,0,0
AL,35150,3350,44061
AL,35150,1920,68293
AL,35150,920,56440
AL,35150,500,43428
AL,35150,460,59446
AL,35150,70,23862
AL,35151,1080,14146
AL,35151,760,27794
AL,35151,440,27225
AL,35151,300,25966
AL,35151,240,31211
AL,35151,20,6969
AL,35160,4670,62430
AL,35160,2700,95968
AL,35160,1210,74986
AL,35160,620,53767
AL,35160,510,66308
AL,35160,80,26054
AL,35171,480,6387
AL,35171,350,13167
AL,35171,230,14056
AL,35171,130,11260
AL,35171,160,23113
AL,35171,0,0
AL,35172,430,5748
AL,35172,330,12280
AL,35172,200,12019
AL,35172,90,7444
AL,35172,70,9196
AL,35172,0,0
AL,35173,3340,38677
AL,35173,2230,83653
AL,35173,1750,110803
AL,35173,1540,135373
AL,35173,2680,365694
AL,35173,630,265333
AL,35175,760,9804
AL,35175,540,19917
AL,35175,320,20081
AL,35175,200,17035
AL,35175,250,32444
AL,35175,40,17321
AL,35176,160,2178
AL,35176,110,4026
AL,35176,40,2190
AL,35176,30,2468
AL,35176,20,3701
AL,35176,0,0
AL,35178,610,8049
AL,35178,390,14351
AL,35178,200,12396
AL,35178,120,10721
AL,35178,90,11795
AL,35178,20,7726
AL,35179,1450,18583
AL,35179,1060,38529
AL,35179,550,33954
AL,35179,310,26308
AL,35179,300,39780
AL,35179,50,21032
AL,35180,1830,23231
AL,35180,1420,52739
AL,35180,900,56075
AL,35180,690,60404
AL,35180,700,89978
AL,35180,60,21216
AL,35183,110,1505
AL,35183,70,2622
AL,35183,50,3045
AL,35183,30,2739
AL,35183,30,3426
AL,35183,0,0
AL,35184,840,11146
AL,35184,600,22171
AL,35184,330,20158
AL,35184,190,16262
AL,35184,160,23274
AL,35184,0,0
AL,35186,670,8319
AL,35186,420,15243
AL,35186,310,19055
AL,35186,190,16920
AL,35186,300,41940
AL,35186,80,25255
AL,35188,370,4746
AL,35188,230,8262
AL,35188,210,12916
AL,35188,150,13012
AL,35188,160,21745
AL,35188,0,0
AL,35203,560,7092
AL,35203,300,11177
AL,35203,160,10080
AL,35203,80,7178
AL,35203,140,19034
AL,35203,90,73676
AL,35204,2580,34865
AL,35204,950,32855
AL,35204,230,13482
AL,35204,60,5452
AL,35204,50,6618
AL,35204,0,0
AL,35205,3870,52305
AL,35205,2490,89480
AL,35205,770,46806
AL,35205,370,32195
AL,35205,410,57171
AL,35205,280,143702
AL,35206,4000,55329
AL,35206,1840,65122
AL,35206,640,38920
AL,35206,240,20747
AL,35206,160,23040
AL,35206,0,0
AL,35207,2270,31049
AL,35207,860,29539
AL,35207,250,14801
AL,35207,80,6681
AL,35207,40,5558
AL,35207,0,0
AL,35208,3770,52235
AL,35208,1820,63522
AL,35208,480,28777
AL,35208,140,11766
AL,35208,110,15801
AL,35208,0,0
AL,35209,4450,58739
AL,35209,3040,110867
AL,35209,1410,87078
AL,35209,960,84052
AL,35209,1740,246750
AL,35209,970,469177
AL,35210,2420,32855
AL,35210,1810,66603
AL,35210,990,61229
AL,35210,590,50969
AL,35210,660,87994
AL,35210,150,65515
AL,35211,6950,95010
AL,35211,2900,102590
AL,35211,930,56400
AL,35211,380,32896
AL,35211,270,35141
AL,35211,40,13198
AL,35212,3010,40276
AL,35212,1160,40762
AL,35212,400,24723
AL,35212,210,18010
AL,35212,200,26815
AL,35212,40,11890
AL,35213,1630,17193
AL,35213,1060,40499
AL,35213,710,44382
AL,35213,510,45258
AL,35213,1180,170115
AL,35213,1680,1072050
AL,35214,3940,53652
AL,35214,2520,90939
AL,35214,1070,64876
AL,35214,510,44342
AL,35214,400,50946
AL,35214,30,9671
AL,35215,10480,146005
AL,35215,6010,214964
AL,35215,2330,141784
AL,35215,900,78054
AL,35215,730,93598
AL,35215,30,8351
AL,35216,5740,73720
AL,35216,4260,155201
AL,35216,2030,125298
AL,35216,1300,114565
AL,35216,2360,330497
AL,35216,1210,659542
AL,35217,2930,40173
AL,35217,1470,52097
AL,35217,470,28252
AL,35217,230,19754
AL,35217,170,26403
AL,35217,0,0
AL,35218,1800,25192
AL,35218,710,24690
AL,35218,160,9649
AL,35218,40,3438
AL,35218,20,2883
AL,35218,0,0
AL,35221,1220,16613
AL,35221,560,19628
AL,35221,130,7770
AL,35221,70,6112
AL,35221,0,0
AL,35221,0,0
AL,35222,1390,18829
AL,35222,880,32826
AL,35222,500,31352
AL,35222,320,28117
AL,35222,490,67516
AL,35222,270,120959
AL,35223,1220,11438
AL,35223,600,22789
AL,35223,460,29019
AL,35223,390,34769
AL,35223,1160,171535
AL,35223,1600,1425325
AL,35224,1310,18515
AL,35224,600,21471
AL,35224,210,12667
AL,35224,80,6421
AL,35224,50,6702
AL,35224,0,0
AL,35226,3850,44977
AL,35226,2690,102758
AL,35226,2260,142089
AL,35226,1900,167946
AL,35226,3870,540504
AL,35226,1370,494600
AL,35228,2510,35484
AL,35228,1320,46505
AL,35228,440,26362
AL,35228,130,11578
AL,35228,70,9341
AL,35228,0,0
AL,35233,190,2409
AL,35233,120,4480
AL,35233,70,4137
AL,35233,30,2797
AL,35233,60,7754
AL,35233,30,13242
AL,35234,1420,19928
AL,35234,520,17714
AL,35234,100,5984
AL,35234,30,2640
AL,35234,20,3042
AL,35234,0,0
AL,35235,3420,47192
AL,35235,2890,105818
AL,35235,1490,91170
AL,35235,700,60687
AL,35235,580,74360
AL,35235,60,20028
AL,35242,6530,73532
AL,35242,4460,166580
AL,35242,2900,182632
AL,35242,2250,198997
AL,35242,5370,768429
AL,35242,3690,1828477
AL,35243,2320,27062
AL,35243,1840,69488
AL,35243,1260,78926
AL,35243,850,75533
AL,35243,1740,247531
AL,35243,1330,718444
AL,35244,4130,46810
AL,35244,3030,114086
AL,35244,2030,127568
AL,35244,1600,141484
AL,35244,3530,499860
AL,35244,1460,564295
AL,35401,6650,86065
AL,35401,2360,82193
AL,35401,620,37611
AL,35401,270,24028
AL,35401,310,42354
AL,35401,120,55025
AL,35404,4100,54970
AL,35404,2130,75647
AL,35404,830,51125
AL,35404,390,33896
AL,35404,400,52488
AL,35404,100,43727
AL,35405,7570,101150
AL,35405,4710,171483
AL,35405,2150,132831
AL,35405,1410,123704
AL,35405,1740,230932
AL,35405,250,96118
AL,35406,1670,19599
AL,35406,1070,40028
AL,35406,760,48113
AL,35406,630,56123
AL,35406,1360,195392
AL,35406,980,480564
AL,35441,200,2886
AL,35441,120,4349
AL,35441,60,3486
AL,35441,30,2709
AL,35441,20,2589
AL,35441,0,0
AL,35442,1100,15532
AL,35442,520,18493
AL,35442,140,8507
AL,35442,90,7695
AL,35442,80,10591
AL,35442,20,8533
AL,35443,440,6106
AL,35443,180,6388
AL,35443,50,2846
AL,35443,40,4058
AL,35443,0,0
AL,35443,0,0
AL,35444,530,7037
AL,35444,440,16004
AL,35444,240,15105
AL,35444,170,15105
AL,35444,160,25444
AL,35444,0,0
AL,35446,310,4081
AL,35446,220,7938
AL,35446,120,7698
AL,35446,80,6788
AL,35446,70,9364
AL,35446,0,0
AL,35447,630,8573
AL,35447,360,12733
AL,35447,140,8546
AL,35447,90,7776
AL,35447,80,12267
AL,35447,0,0
AL,35452,570,7334
AL,35452,390,14254
AL,35452,250,15354
AL,35452,160,14055
AL,35452,180,25582
AL,35452,0,0
AL,35453,1870,25482
AL,35453,1280,46323
AL,35453,680,41866
AL,35453,460,40329
AL,35453,410,52646
AL,35453,50,17961
AL,35456,790,10925
AL,35456,490,17555
AL,35456,230,14412
AL,35456,140,11803
AL,35456,140,18296
AL,35456,20,7951
AL,35458,80,1022
AL,35458,60,2348
AL,35458,50,3002
AL,35458,40,4422
AL,35458,0,0
AL,35458,0,0
AL,35459,160,2149
AL,35459,90,3384
AL,35459,50,2857
AL,35459,30,3120
AL,35459,0,0
AL,35459,0,0
AL,35460,130,1657
AL,35460,70,2550
AL,35460,30,2685
AL,35460,0,0
AL,35460,0,0
AL,35460,0,0
AL,35461,290,3847
AL,35461,190,6818
AL,35461,110,6736
AL,35461,70,5730
AL,35461,50,5929
AL,35461,0,0
AL,35462,1150,16257
AL,35462,490,17278
AL,35462,130,8124
AL,35462,80,6710
AL,35462,70,9254
AL,35462,20,5745
AL,35463,320,4507
AL,35463,210,7802
AL,35463,90,5679
AL,35463,80,6575
AL,35463,80,11673
AL,35463,0,0
AL,35464,160,2211
AL,35464,60,1979
AL,35464,30,2658
AL,35464,0,0
AL,35464,0,0
AL,35464,0,0
AL,35466,860,11645
AL,35466,580,21064
AL,35466,360,21836
AL,35466,240,20516
AL,35466,230,34773
AL,35466,0,0
AL,35469,60,771
AL,35469,40,1442
AL,35469,30,2790
AL,35469,0,0
AL,35469,0,0
AL,35469,0,0
AL,35470,980,12675
AL,35470,460,16277
AL,35470,190,11582
AL,35470,110,9893
AL,35470,130,17491
AL,35470,30,11698
AL,35473,2360,31233
AL,35473,1750,64421
AL,35473,1070,66757
AL,35473,780,67836
AL,35473,870,112755
AL,35473,130,47761
AL,35474,1050,14122
AL,35474,740,26901
AL,35474,430,26746
AL,35474,270,23336
AL,35474,250,32072
AL,35474,20,6879
AL,35475,1840,22539
AL,35475,1330,49574
AL,35475,990,62522
AL,35475,890,77808
AL,35475,1240,164681
AL,35475,210,94668
AL,35476,1950,27896
AL,35476,1150,40586
AL,35476,390,23467
AL,35476,180,15097
AL,35476,140,18415
AL,35476,40,15696
AL,35480,250,3259
AL,35480,160,5898
AL,35480,100,6567
AL,35480,60,4955
AL,35480,90,13166
AL,35480,0,0
AL,35481,660,9396
AL,35481,320,11347
AL,35481,160,10023
AL,35481,80,7310
AL,35481,90,14376
AL,35481,0,0
AL,35490,590,7772
AL,35490,500,17959
AL,35490,280,17073
AL,35490,200,17560
AL,35490,230,35047
AL,35490,0,0
AL,35501,1920,25986
AL,35501,940,33305
AL,35501,430,26428
AL,35501,270,23738
AL,35501,240,30659
AL,35501,40,14291
AL,35503,1420,18665
AL,35503,820,29916
AL,35503,470,29223
AL,35503,280,24496
AL,35503,300,38719
AL,35503,40,16045
AL,35504,1830,23437
AL,35504,1130,41912
AL,35504,730,45731
AL,35504,560,49134
AL,35504,670,89748
AL,35504,140,56555
AL,35540,400,5471
AL,35540,240,8532
AL,35540,140,8411
AL,35540,80,6577
AL,35540,60,8418
AL,35540,0,0
AL,35541,460,6088
AL,35541,310,11203
AL,35541,180,11268
AL,35541,110,9324
AL,35541,140,18911
AL,35541,40,11808
AL,35542,170,2405
AL,35542,110,3974
AL,35542,60,3986
AL,35542,40,3734
AL,35542,30,4250
AL,35542,0,0
AL,35543,190,2532
AL,35543,100,3691
AL,35543,50,3170
AL,35543,30,3576
AL,35543,0,0
AL,35543,0,0
AL,35544,120,1515
AL,35544,70,2511
AL,35544,30,1768
AL,35544,30,3556
AL,35544,0,0
AL,35544,0,0
AL,35546,570,7371
AL,35546,390,14116
AL,35546,220,13356
AL,35546,120,10537
AL,35546,130,18472
AL,35546,0,0
AL,35548,300,3890
AL,35548,170,6228
AL,35548,50,3194
AL,35548,40,3076
AL,35548,30,3063
AL,35548,0,0
AL,35549,660,8859
AL,35549,340,12388
AL,35549,160,9823
AL,35549,120,10009
AL,35549,90,11369
AL,35549,0,0
AL,35550,820,10805
AL,35550,470,17119
AL,35550,300,18654
AL,35550,150,13354
AL,35550,150,23326
AL,35550,0,0
AL,35552,160,2147
AL,35552,100,3490
AL,35552,50,3237
AL,35552,40,4083
AL,35552,0,0
AL,35552,0,0
AL,35553,810,10757
AL,35553,440,15654
AL,35553,230,14382
AL,35553,100,9000
AL,35553,110,19223
AL,35553,0,0
AL,35554,150,1887
AL,35554,90,3471
AL,35554,60,3658
AL,35554,50,4133
AL,35554,30,3615
AL,35554,0,0
AL,35555,1680,22200
AL,35555,980,35265
AL,35555,480,29589
AL,35555,320,27836
AL,35555,260,33102
AL,35555,40,15178
AL,35563,650,8538
AL,35563,370,13569
AL,35563,230,14299
AL,35563,140,12473
AL,35563,130,22014
AL,35563,0,0
AL,35564,360,4934
AL,35564,210,7466
AL,35564,110,6870
AL,35564,40,3944
AL,35564,40,4727
AL,35564,0,0
AL,35565,2340,31390
AL,35565,1230,44346
AL,35565,580,36202
AL,35565,270,23605
AL,35565,240,32405
AL,35565,60,36366
AL,35570,1850,23995
AL,35570,1010,35789
AL,35570,500,30676
AL,35570,290,24767
AL,35570,200,25849
AL,35570,50,16190
AL,35571,120,1726
AL,35571,120,4285
AL,35571,50,2850
AL,35571,30,3634
AL,35571,0,0
AL,35571,0,0
AL,35572,170,2368
AL,35572,110,3939
AL,35572,50,3078
AL,35572,20,1877
AL,35572,40,6146
AL,35572,0,0
AL,35574,200,2477
AL,35574,170,6126
AL,35574,90,5576
AL,35574,60,5346
AL,35574,40,5535
AL,35574,0,0
AL,35575,160,1994
AL,35575,100,3833
AL,35575,50,3049
AL,35575,30,2776
AL,35575,20,2978
AL,35575,0,0
AL,35576,400,5120
AL,35576,320,11647
AL,35576,210,13176
AL,35576,120,10226
AL,35576,90,13060
AL,35576,0,0
AL,35578,810,10644
AL,35578,500,17869
AL,35578,270,16688
AL,35578,150,13201
AL,35578,130,18325
AL,35578,0,0
AL,35579,460,6293
AL,35579,310,11214
AL,35579,170,10840
AL,35579,110,9756
AL,35579,100,13384
AL,35579,0,0
AL,35580,600,8275
AL,35580,340,12235
AL,35580,220,13554
AL,35580,140,11903
AL,35580,140,18464
AL,35580,0,0
AL,35581,930,11915
AL,35581,530,19053
AL,35581,250,15299
AL,35581,110,9260
AL,35581,110,14949
AL,35581,0,0
AL,35582,660,8427
AL,35582,520,18324
AL,35582,240,14833
AL,35582,130,11068
AL,35582,90,11717
AL,35582,30,19960
AL,35585,250,3322
AL,35585,120,4567
AL,35585,90,5137
AL,35585,60,5313
AL,35585,60,7359
AL,35585,0,0
AL,35586,730,9556
AL,35586,420,15404
AL,35586,220,13754
AL,35586,130,11495
AL,35586,80,13142
AL,35586,0,0
AL,35587,140,1797
AL,35587,70,2537
AL,35587,50,2851
AL,35587,30,2932
AL,35587,30,4147
AL,35587,0,0
AL,35592,700,9104
AL,35592,430,16112
AL,35592,230,14367
AL,35592,150,12793
AL,35592,140,20760
AL,35592,0,0
AL,35593,230,2812
AL,35593,220,7855
AL,35593,100,6122
AL,35593,60,4817
AL,35593,30,4102
AL,35593,0,0
AL,35594,1160,14837
AL,35594,730,26734
AL,35594,370,22998
AL,35594,260,22845
AL,35594,250,33011
AL,35594,50,26436
AL,35601,7240,98927
AL,35601,3840,135079
AL,35601,1510,92933
AL,35601,750,64861
AL,35601,840,113728
AL,35601,260,124771
AL,35603,4950,62246
AL,35603,2970,108356
AL,35603,1900,118159
AL,35603,1390,121728
AL,35603,2120,284631
AL,35603,460,179762
AL,35610,280,3768
AL,35610,170,6361
AL,35610,140,8502
AL,35610,70,6104
AL,35610,70,9658
AL,35610,0,0
AL,35611,4500,60413
AL,35611,2780,99441
AL,35611,1210,74397
AL,35611,710,62223
AL,35611,820,108511
AL,35611,140,53472
AL,35613,2520,31083
AL,35613,1640,60453
AL,35613,1280,80274
AL,35613,1090,95353
AL,35613,1780,241254
AL,35613,360,122696
AL,35614,1340,18196
AL,35614,800,28835
AL,35614,440,27249
AL,35614,230,20228
AL,35614,220,28461
AL,35614,30,9952
AL,35616,600,7969
AL,35616,380,13888
AL,35616,230,14232
AL,35616,130,11473
AL,35616,120,19307
AL,35616,0,0
AL,35618,370,5105
AL,35618,230,8161
AL,35618,100,6393
AL,35618,40,3253
AL,35618,50,10132
AL,35618,0,0
AL,35619,890,11597
AL,35619,510,18776
AL,35619,330,20258
AL,35619,170,14928
AL,35619,190,28951
AL,35619,0,0
AL,35620,1420,18981
AL,35620,940,34016
AL,35620,520,32421
AL,35620,370,32071
AL,35620,340,45198
AL,35620,30,9798
AL,35621,460,5885
AL,35621,300,11312
AL,35621,160,9834
AL,35621,120,10611
AL,35621,110,15624
AL,35621,0,0
AL,35622,1150,15202
AL,35622,710,25856
AL,35622,370,22581
AL,35622,200,16879
AL,35622,220,34970
AL,35622,0,0
AL,35630,6510,82325
AL,35630,2990,108046
AL,35630,1350,83381
AL,35630,750,65389
AL,35630,850,112839
AL,35630,240,108408
AL,35633,3380,42654
AL,35633,1930,70239
AL,35633,1350,84534
AL,35633,860,74997
AL,35633,840,111002
AL,35633,140,55426
AL,35634,1660,20439
AL,35634,910,33760
AL,35634,660,40857
AL,35634,420,36646
AL,35634,550,73699
AL,35634,230,119626
AL,35640,4070,52102
AL,35640,2430,89039
AL,35640,1620,100846
AL,35640,1080,94358
AL,35640,1300,168947
AL,35640,180,64319
AL,35643,570,7729
AL,35643,390,13736
AL,35643,160,9709
AL,35643,100,9095
AL,35643,80,13734
AL,35643,0,0
AL,35645,1950,24384
AL,35645,1220,44860
AL,35645,890,55377
AL,35645,600,52169
AL,35645,810,109799
AL,35645,180,72292
AL,35646,820,10846
AL,35646,490,17520
AL,35646,250,15396
AL,35646,120,9985
AL,35646,130,16789
AL,35646,30,9254
AL,35647,180,2359
AL,35647,110,4094
AL,35647,70,4269
AL,35647,40,3562
AL,35647,40,5432
AL,35647,0,0
AL,35648,600,7533
AL,35648,350,12914
AL,35648,240,14484
AL,35648,170,14775
AL,35648,160,22385
AL,35648,0,0
AL,35650,2260,29606
AL,35650,1250,45769
AL,35650,790,49104
AL,35650,500,43365
AL,35650,520,66529
AL,35650,60,16161
AL,35651,180,2223
AL,35651,110,3945
AL,35651,60,3909
AL,35651,50,4062
AL,35651,40,4873
AL,35651,0,0
AL,35652,1270,16111
AL,35652,760,28031
AL,35652,550,34262
AL,35652,330,28550
AL,35652,360,46861
AL,35652,70,20415
AL,35653,2200,31331
AL,35653,1390,48101
AL,35653,480,30070
AL,35653,290,25187
AL,35653,250,33256
AL,35653,60,22920
AL,35654,1530,21662
AL,35654,850,30189
AL,35654,370,22599
AL,35654,190,16700
AL,35654,180,23029
AL,35654,30,8977
AL,35660,1980,25681
AL,35660,990,35435
AL,35660,440,26933
AL,35660,220,19337
AL,35660,230,29256
AL,35660,30,12233
AL,35661,2900,36760
AL,35661,1750,63968
AL,35661,1110,68921
AL,35661,790,69216
AL,35661,910,120517
AL,35661,220,92141
AL,35670,1290,16602
AL,35670,800,29088
AL,35670,480,29951
AL,35670,290,25000
AL,35670,340,44944
AL,35670,40,10846
AL,35671,400,5162
AL,35671,220,7812
AL,35671,100,6279
AL,35671,60,5054
